"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
80.2,760,0.0,0.0,+-0.2,+-0.1,+-0.004,+-0.004
80.2,760,0.006,0.007,+-0.2,+-0.1,+-0.004,+-0.004
80.2,760,0.012,0.015,+-0.2,+-0.1,+-0.004,+-0.004
79.85,760,0.037,0.049,+-0.2,+-0.1,+-0.004,+-0.004
79.65,760,0.065,0.079,+-0.2,+-0.1,+-0.004,+-0.004
79.45,760,0.088,0.105,+-0.2,+-0.1,+-0.004,+-0.004
79.45,760,0.088,0.106,+-0.2,+-0.1,+-0.004,+-0.004
79.25,760,0.112,0.131,+-0.2,+-0.1,+-0.004,+-0.004
79.15,760,0.131,0.151,+-0.2,+-0.1,+-0.004,+-0.004
79.05,760,0.157,0.177,+-0.2,+-0.1,+-0.004,+-0.004
78.8,760,0.202,0.222,+-0.2,+-0.1,+-0.004,+-0.004
78.45,760,0.274,0.29,+-0.2,+-0.1,+-0.004,+-0.004
78.55,760,0.326,0.338,+-0.2,+-0.1,+-0.004,+-0.004
78.35,760,0.416,0.419,+-0.2,+-0.1,+-0.004,+-0.004
78.35,760,0.463,0.462,+-0.2,+-0.1,+-0.004,+-0.004
78.33,760,0.511,0.507,+-0.2,+-0.1,+-0.004,+-0.004
78.3,760,0.55,0.543,+-0.2,+-0.1,+-0.004,+-0.004
78.33,760,0.606,0.595,+-0.2,+-0.1,+-0.004,+-0.004
78.3,760,0.635,0.623,+-0.2,+-0.1,+-0.004,+-0.004
78.55,760,0.753,0.74,+-0.2,+-0.1,+-0.004,+-0.004
78.95,760,0.877,0.865,+-0.2,+-0.1,+-0.004,+-0.004
79.25,760,0.943,0.937,+-0.2,+-0.1,+-0.004,+-0.004
79.4,760,0.986,0.985,+-0.2,+-0.1,+-0.004,+-0.004
79.45,760,1.0,1.0,+-0.2,+-0.1,+-0.004,+-0.004
