"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
230.0,0.699,0.0,0.0,+-0.02,+-0.1%,+-0.002,+-0.002
230.0,0.799,0.0485,0.1513,+-0.02,+-0.1%,+-0.002,+-0.002
230.0,0.833,0.0681,0.191,+-0.02,+-0.1%,+-0.002,+-0.002
230.0,0.841,0.0745,0.1982,+-0.02,+-0.1%,+-0.002,+-0.002
230.0,0.883,0.1035,0.2452,+-0.02,+-0.1%,+-0.002,+-0.002
230.0,0.895,0.1106,0.267,+-0.02,+-0.1%,+-0.002,+-0.002
230.0,0.921,0.128,0.2862,+-0.02,+-0.1%,+-0.002,+-0.002
230.0,0.948,0.1548,0.3225,+-0.02,+-0.1%,+-0.002,+-0.002
230.0,0.965,0.1712,0.3482,+-0.02,+-0.1%,+-0.002,+-0.002
230.0,1.01,,0.4008,+-0.02,+-0.1%,+-0.002,+-0.002
230.0,1.038,0.2538,0.428,+-0.02,+-0.1%,+-0.002,+-0.002
230.0,1.08,0.33,0.4782,+-0.02,+-0.1%,+-0.002,+-0.002
230.0,1.098,0.3605,0.5022,+-0.02,+-0.1%,+-0.002,+-0.002
230.0,1.112,0.4092,0.5227,+-0.02,+-0.1%,+-0.002,+-0.002
230.0,1.122,0.4422,0.5402,+-0.02,+-0.1%,+-0.002,+-0.002
230.0,1.138,0.5195,0.575,+-0.02,+-0.1%,+-0.002,+-0.002
230.0,1.145,0.6844,0.6484,+-0.02,+-0.1%,+-0.002,+-0.002
230.0,1.1,0.8438,0.7403,+-0.02,+-0.1%,+-0.002,+-0.002
230.0,1.023,0.9326,0.8389,+-0.02,+-0.1%,+-0.002,+-0.002
230.0,0.936,0.9828,0.9451,+-0.02,+-0.1%,+-0.002,+-0.002
230.0,0.891,1.0,1.0,+-0.02,+-0.1%,+-0.002,+-0.002
