"T, deg.C","P, Torr",X,Y,T Err,P Err,X Err,Y Err
50.0,176.8,0.005,0.004,+-0.1,+-0.5,+-0.002,+-0.010
50.0,168.0,0.079,0.024,+-0.1,+-0.5,+-0.002,+-0.010
50.0,170.0,0.082,0.024,+-0.1,+-0.5,+-0.002,+-0.010
50.0,166.1,0.137,0.03,+-0.1,+-0.5,+-0.002,+-0.010
50.0,164.6,0.139,0.033,+-0.1,+-0.5,+-0.002,+-0.010
50.0,163.5,0.187,0.036,+-0.1,+-0.5,+-0.002,+-0.010
50.0,161.1,0.215,0.036,+-0.1,+-0.5,+-0.002,+-0.010
50.0,158.9,0.227,0.041,+-0.1,+-0.5,+-0.002,+-0.010
50.0,161.1,0.239,0.037,+-0.1,+-0.5,+-0.002,+-0.010
50.0,156.1,0.3,0.043,+-0.1,+-0.5,+-0.002,+-0.010
50.0,149.9,0.412,0.048,+-0.1,+-0.5,+-0.002,+-0.010
50.0,150.0,0.426,0.045,+-0.1,+-0.5,+-0.002,+-0.010
50.0,149.8,0.47,0.05,+-0.1,+-0.5,+-0.002,+-0.010
50.0,138.4,0.574,0.057,+-0.1,+-0.5,+-0.002,+-0.010
50.0,139.9,0.637,0.064,+-0.1,+-0.5,+-0.002,+-0.010
50.0,126.9,0.74,0.066,+-0.1,+-0.5,+-0.002,+-0.010
50.0,126.1,0.769,0.053,+-0.1,+-0.5,+-0.002,+-0.010
