"T, K","P, psi",X,Y,T Err,P Err,X Err,Y Err
323.15,3.881,0.9519,0.441,,,,
323.15,3.885,0.9519,0.441,,,,
323.15,4.051,0.9481,0.419,,,,
323.15,4.044,0.9481,0.419,,,,
323.15,5.02,0.9287,0.325,,,,
323.15,6.486,0.9033,0.241,,,,
323.15,6.506,0.9033,0.241,,,,
323.15,6.951,0.8962,0.222,,,,
323.15,6.979,0.8962,0.222,,,,
323.15,10.192,0.8513,0.139,,,,
323.15,10.199,0.8513,0.139,,,,
323.15,10.247,0.8509,0.139,,,,
323.15,10.275,0.8509,0.139,,,,
323.15,11.199,0.8404,0.125,,,,
323.15,11.231,0.8404,0.125,,,,
323.15,15.004,0.801,0.0864,,,,
323.15,15.029,0.801,0.0864,,,,
323.15,15.449,0.7986,0.0845,,,,
323.15,15.432,0.9787,0.0846,,,,
323.15,15.515,0.7987,0.0846,,,,
323.15,22.532,0.7457,0.0529,,,,
323.15,22.532,0.7457,0.0529,,,,
323.15,30.772,0.6994,0.0359,,,,
323.15,31.102,0.6983,0.0356,,,,
323.15,31.037,0.6983,0.0356,,,,
323.15,56.173,0.6028,0.0168,,,,
323.15,56.125,0.6028,0.0168,,,,
323.15,59.079,0.5943,0.0158,,,,
323.15,59.008,0.5943,0.0158,,,,
323.15,58.713,0.5932,0.0157,,,,
323.15,58.657,0.5932,0.0157,,,,
323.15,94.808,0.5009,0.00814,,,,
323.15,94.776,0.5009,0.00814,,,,
323.15,95.384,0.5001,0.0081,,,,
323.15,95.486,0.5001,0.0081,,,,
323.15,183.693,0.3046,0.00249,,,,
323.15,183.723,0.3046,0.00249,,,,
323.15,184.491,0.3033,0.00247,,,,
323.15,184.575,0.3033,0.00247,,,,
323.15,225.414,0.2107,0.0015,,,,
323.15,225.205,0.2107,0.0015,,,,
323.15,225.433,0.2104,0.0015,,,,
323.15,225.416,0.2104,0.0015,,,,
323.15,256.696,0.1099,0.000803,,,,
323.15,259.31,0.1017,0.000752,,,,
323.15,259.487,0.1013,0.000749,,,,
323.15,272.975,0.0596,0.000479,,,,
323.15,277.271,0.0513,0.000422,,,,
323.15,277.004,0.0468,0.00039,,,,
323.15,276.572,0.0468,0.00039,,,,
323.15,277.403,0.0473,0.000393,,,,
323.15,278.262,0.0464,0.000386,,,,
323.15,279.695,0.04,0.00034,,,,
323.15,278.715,0.04,0.00034,,,,
