"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
318.15,114.89,0.0,0.0,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,113.23,0.0509,0.0285,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,112.02,0.095,0.0469,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,109.78,0.1635,0.0639,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,108.45,0.2064,0.0717,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,106.54,0.2671,0.0824,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,104.88,0.3137,0.0912,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,102.15,0.3785,0.1042,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,98.01,0.4777,0.1253,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,93.75,0.5686,0.1435,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,87.89,0.6764,0.1629,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,81.96,0.7706,0.1832,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,77.6,0.8138,0.1981,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,69.21,0.8692,0.2313,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,50.43,0.9322,0.3255,+-0.1,+-0.50,+-0.0001,+-0.0001
318.15,12.75,1.0,1.0,+-0.1,+-0.50,+-0.0001,+-0.0001
