"T, K","P, atm",X,Y,T Err,P Err,X Err,Y Err
308,15.0,0.122,0.9986,,,,
308,21.0,0.164,0.9988,,,,
308,28.2,0.238,0.9989,,,,
308,40.1,0.369,0.9988,,,,
308,55.5,0.543,0.9982,,,,
308,67.1,0.803,0.9975,,,,
