"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
25,0.0712,0.0,0.0,+-0.01,0.1%,,
25,0.1682,0.0929,0.5701,+-0.01,0.1%,,
25,0.2666,0.186,0.7453,+-0.01,0.1%,,
25,0.3201,0.2475,0.8015,+-0.01,0.1%,,
25,0.4255,0.3412,0.8582,+-0.01,0.1%,,
25,0.4917,0.4042,0.8884,+-0.01,0.1%,,
25,0.534,0.4489,0.903,+-0.01,0.1%,,
25,0.6354,0.5495,0.9294,+-0.01,0.1%,,
25,0.7084,0.6138,0.9435,+-0.01,0.1%,,
25,0.7772,0.6747,0.9549,+-0.01,0.1%,,
25,0.8898,0.7711,0.9694,+-0.01,0.1%,,
25,1.0073,0.8753,0.9844,+-0.01,0.1%,,
25,1.0872,0.9405,0.9927,+-0.01,0.1%,,
25,1.1566,1.0,1.0,+-0.01,0.1%,,
