"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
270.0,0.0915,0.0,0.0,+- 0.02,,+- 0.002,+- 0.002
270.0,0.483,0.0071,0.7974,+- 0.02,,+- 0.002,+- 0.002
270.0,1.067,0.0151,0.9018,+- 0.02,,+- 0.002,+- 0.002
270.0,1.532,0.0218,0.9277,+- 0.02,,+- 0.002,+- 0.002
270.0,2.251,0.0344,0.9453,+- 0.02,,+- 0.002,+- 0.002
270.0,4.221,0.0654,0.9626,+- 0.02,,+- 0.002,+- 0.002
270.0,6.024,0.093,0.9672,+- 0.02,,+- 0.002,+- 0.002
270.0,8.076,0.1243,0.9685,+- 0.02,,+- 0.002,+- 0.002
270.0,9.607,0.1462,0.9679,+- 0.02,,+- 0.002,+- 0.002
270.0,11.008,0.1637,0.967,+- 0.02,,+- 0.002,+- 0.002
270.0,12.295,0.1851,0.9655,+- 0.02,,+- 0.002,+- 0.002
270.0,13.647,0.2049,0.9639,+- 0.02,,+- 0.002,+- 0.002
270.0,15.022,0.2234,0.9616,+- 0.02,,+- 0.002,+- 0.002
