"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
313.15,4.4,0.039,0.996,0.1,0.3,0.002,0.002
313.15,14.8,0.1,,0.1,0.3,0.002,0.002
313.15,20.4,,0.998,0.1,0.3,0.002,0.002
313.15,25.0,0.163,,0.1,0.3,0.002,0.002
313.15,34.6,0.2,0.998,0.1,0.3,0.002,0.002
313.15,40.6,0.254,0.992,0.1,0.3,0.002,0.002
313.15,46.5,0.274,0.996,0.1,0.3,0.002,0.002
313.15,56.4,0.37,,0.1,0.3,0.002,0.002
313.15,60.0,0.433,0.996,0.1,0.3,0.002,0.002
313.15,65.0,0.473,,0.1,0.3,0.002,0.002
313.15,70.0,0.563,,0.1,0.3,0.002,0.002
313.15,74.6,0.623,0.985,0.1,0.3,0.002,0.002
313.15,77.5,0.722,,0.1,0.3,0.002,0.002
313.15,82.5,0.915,0.987,0.1,0.3,0.002,0.002
313.15,83.5,0.968,0.99,0.1,0.3,0.002,0.002
