"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
330.42,101.11,0.049,,0.25,0.4,0.003,
336.01,98.71,0.049,,0.25,0.4,0.003,
343.43,95.71,0.049,,0.25,0.4,0.003,
353.42,92.1,0.049,,0.25,0.4,0.003,
368.06,87.4,0.049,,0.25,0.4,0.003,
376.94,85.0,0.049,,0.25,0.4,0.003,
386.22,82.55,0.049,,0.25,0.4,0.003,
394.88,80.45,0.049,,0.25,0.4,0.003,
404.03,78.35,0.049,,0.25,0.4,0.003,
414.43,76.1,0.049,,0.25,0.4,0.003,
426.55,73.49,0.049,,0.25,0.4,0.003,
431.78,72.39,0.049,,0.25,0.4,0.003,
443.73,70.09,0.049,,0.25,0.4,0.003,
452.87,68.39,0.049,,0.25,0.4,0.003,
