"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
70.0,2.554,0.0,0.0,+-0.1,+-0.2%,,
70.0,2.632,0.0271,0.0347,+-0.1,+-0.2%,,
70.0,2.739,0.0629,0.0734,+-0.1,+-0.2%,,
70.0,2.808,0.0933,0.102,+-0.1,+-0.2%,,
70.0,2.845,0.115,0.115,+-0.1,+-0.2%,,
70.0,3.432,0.475,0.475,+-0.1,+-0.2%,,
70.0,3.472,0.52,0.546,+-0.1,+-0.2%,,
70.0,3.485,0.588,0.605,+-0.1,+-0.2%,,
70.0,3.498,0.616,0.616,+-0.1,+-0.2%,,
70.0,3.492,0.644,0.63,+-0.1,+-0.2%,,
70.0,3.475,0.686,0.669,+-0.1,+-0.2%,,
70.0,3.461,0.731,0.704,+-0.1,+-0.2%,,
70.0,3.273,0.907,0.868,+-0.1,+-0.2%,,
70.0,3.174,0.949,0.921,+-0.1,+-0.2%,,
70.0,3.145,0.962,0.941,+-0.1,+-0.2%,,
70.0,3.003,1.0,1.0,+-0.1,+-0.2%,,
