"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
106.77,101.3,0.1054,0.1157,+-0.02,,,
105.73,101.3,0.2286,0.2712,+-0.02,,,
105.02,101.3,0.2746,0.3289,+-0.02,,,
104.52,101.3,0.3345,0.3948,+-0.02,,,
104.0,101.3,0.3888,0.4508,+-0.02,,,
103.2,101.3,0.4774,0.5437,+-0.02,,,
102.8,101.3,0.5561,0.6089,+-0.02,,,
101.99,101.3,0.6492,0.7098,+-0.02,,,
101.58,101.3,0.6943,0.7494,+-0.02,,,
101.15,101.3,0.748,0.7939,+-0.02,,,
100.79,101.3,0.7909,0.8356,+-0.02,,,
100.35,101.3,0.8786,0.9014,+-0.02,,,
99.56,101.3,0.9513,0.9602,+-0.02,,,
