"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
93,2.415,0.1095,0.9894,+-0.1,+-0.25%,,
93,4.065,0.2309,0.9935,+-0.1,+-0.25%,,
93,7.964,0.4421,,+-0.1,+-0.25%,,
93,7.929,0.4422,0.9876,+-0.1,+-0.25%,,
93,9.405,0.5204,,+-0.1,+-0.25%,,
93,9.431,0.522,0.9896,+-0.1,+-0.25%,,
93,11.199,0.6153,0.9811,+-0.1,+-0.25%,,
93,11.256,0.6215,,+-0.1,+-0.25%,,
93,12.879,0.7142,0.9735,+-0.1,+-0.25%,,
93,12.882,0.7212,,+-0.1,+-0.25%,,
93,14.402,0.7925,,+-0.1,+-0.25%,,
93,14.167,0.8043,0.9517,+-0.1,+-0.25%,,
93,14.161,0.807,,+-0.1,+-0.25%,,
