"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
139.0,101.3,0.000,0.0,,,,
137.5,101.3,0.008,0.052,,,,
135.7,101.3,0.015,0.098,,,,
134.1,101.3,0.020,0.125,,,,
132.6,101.3,0.022,0.148,,,,
131.1,101.3,0.030,0.192,,,,
130.1,101.3,0.0.35,0.215,,,,
129.4,101.3,0.038,0.238,,,,
128.4,101.3,0.040,0.258,,,,
127.2,101.3,0.048,0.29,,,,
126.0,101.3,0.051,0.305,,,,
124.4,101.3,0.056,0.338,,,,
123.0,101.3,0.062,0.368,,,,
121.6,101.3,0.065,0.392,,,,
119.5,101.3,0.078,0.438,,,,
117.5,101.3,0.080,0.472,,,,
116.0,101.3,0.087,0.497,,,,
113.4,101.3,0.100,0.543,,,,
108.7,101.3,0.131,0.614,,,,
107.2,101.3,0.145,0.645,,,,
105.2,101.3,0.160,0.682,,,,
102.8,101.3,0.187,0.707,,,,
100.4,101.3,0.218,0.73,,,,
100.1,101.3,0.227,0.735,,,,
97.9,101.3,0.250,0.763,,,,
94.1,101.3,0.330,0.795,,,,
93.9,101.3,0.332,0.805,,,,
91.9,101.3,0.390,0.827,,,,
91.3,101.3,0.397,0.83,,,,
90.2,101.3,0.434,0.84,,,,
89.9,101.3,0.445,0.847,,,,
88.8,101.3,0.465,0.853,,,,
88.7,101.3,0.480,0.858,,,,
86.9,101.3,0.583,0.878,,,,
86.3,101.3,0.635,0.888,,,,
85.2,101.3,0.723,0.905,,,,
84.5,101.3,0.766,0.915,,,,
84.1,101.3,0.810,0.925,,,,
83.5,101.3,0.850,0.935,,,,
82.9,101.3,0.888,0.948,,,,
82.5,101.3,0.930,0.962,,,,
82.3,101.3,0.958,0.972,,,,
81.6,101.3,1.000,1.0,,,,
