"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
95.3,1.0,0.012,0.071,,,,
91.3,1.0,0.043,0.215,,,,
84.8,1.0,0.116,0.405,,,,
81.9,1.0,0.153,0.497,,,,
77.0,1.0,0.232,0.612,,,,
76.5,1.0,0.236,0.624,,,,
73.7,1.0,0.288,0.674,,,,
73.7,1.0,0.288,0.676,,,,
71.0,1.0,0.352,0.739,,,,
69.0,1.0,0.401,0.777,,,,
68.9,1.0,0.412,0.778,,,,
67.6,1.0,0.448,0.797,,,,
67.0,1.0,0.473,0.814,,,,
66.6,1.0,0.49,0.813,,,,
65.3,1.0,0.543,0.837,,,,
65.0,1.0,0.561,0.842,,,,
62.9,1.0,0.648,0.87,,,,
61.8,1.0,0.712,0.894,,,,
60.7,1.0,0.773,0.915,,,,
59.1,1.0,0.863,0.954,,,,
58.0,1.0,0.926,0.97,,,,
