"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
55.0,13.23,0.0,0.0,+- 0.01,,,
55.0,13.89,0.0111,0.0612,+- 0.01,,,
55.0,14.79,0.028,0.1357,+- 0.01,,,
55.0,15.64,0.0452,0.1943,+- 0.01,,,
55.0,16.84,0.0717,0.2716,+- 0.01,,,
55.0,17.94,0.0983,0.3313,+- 0.01,,,
55.0,18.82,0.1239,0.3765,+- 0.01,,,
55.0,19.9,0.1574,0.4249,+- 0.01,,,
55.0,20.8,0.1913,0.4682,+- 0.01,,,
55.0,20.99,0.202,0.4787,+- 0.01,,,
55.0,21.83,0.235,0.5102,+- 0.01,,,
55.0,22.95,0.2929,0.5557,+- 0.01,,,
55.0,23.96,0.3618,0.5981,+- 0.01,,,
55.0,24.41,0.4001,0.6149,+- 0.01,,,
55.0,25.14,0.4773,0.6496,+- 0.01,,,
55.0,25.69,0.5505,0.6794,+- 0.01,,,
55.0,26.02,0.6133,0.7035,+- 0.01,,,
55.0,26.31,0.7011,0.7372,+- 0.01,,,
55.0,26.31,0.807,0.7801,+- 0.01,,,
55.0,25.82,0.9056,0.8359,+- 0.01,,,
55.0,24.6,0.9725,0.9132,+- 0.01,,,
55.0,23.13,1.0,1.0,+- 0.01,,,
