"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
270.0,3.209,0.0,0.0,0.1%,0.1%,,
270.0,3.558,0.0151,0.0766,0.1%,0.1%,,
270.0,3.673,0.0198,0.1047,0.1%,0.1%,,
270.0,3.883,0.0305,0.1461,0.1%,0.1%,,
270.0,4.146,0.0377,0.1778,0.1%,0.1%,,
270.0,4.506,0.0504,0.2203,0.1%,0.1%,,
270.0,4.915,0.0724,0.2661,0.1%,0.1%,,
270.0,5.851,0.1154,0.3372,0.1%,0.1%,,
270.0,7.093,0.1834,0.3942,0.1%,0.1%,,
270.0,7.868,0.2407,0.4061,0.1%,0.1%,,
270.0,8.197,0.2696,0.3952,0.1%,0.1%,,
270.0,8.282,0.2803,0.3887,0.1%,0.1%,,
270.0,8.381,0.2995,0.3782,0.1%,0.1%,,
