"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
79.15,760,0.942,0.862,+-0.02,,,
75.71,760,0.896,0.717,+-0.02,,,
74.9,760,0.862,0.69,+-0.02,,,
71.62,760,0.764,0.562,+-0.02,,,
69.28,760,0.153,0.258,+-0.02,,,
69.0,760,0.211,0.292,+-0.02,,,
68.75,760,0.307,0.371,+-0.02,,,
69.15,760,0.578,0.416,+-0.02,,,
71.78,760,0.775,0.567,+-0.02,,,
70.12,760,0.683,0.503,+-0.02,,,
70.63,760,0.711,0.527,+-0.02,,,
70.51,760,0.706,0.517,+-0.02,,,
72.54,760,0.81,0.601,+-0.02,,,
74.27,760,0.86,0.604,+-0.02,,,
69.54,760,0.657,0.5,+-0.02,,,
71.4,760,0.054,0.158,+-0.02,,,
74.79,760,0.011,0.06,+-0.02,,,
78.85,760,0.056,0.854,+-0.02,,,
77.96,760,0.041,0.817,+-0.02,,,
74.48,760,0.868,0.604,+-0.02,,,
73.71,760,0.842,0.655,+-0.02,,,
70.87,760,0.72,0.537,+-0.02,,,
69.7,760,0.623,0.469,+-0.02,,,
68.86,760,0.488,0.411,+-0.02,,,
68.46,760,0.506,0.412,+-0.02,,,
68.31,760,0.413,0.381,+-0.02,,,
68.56,760,0.339,0.359,+-0.02,,,
68.76,760,0.319,0.351,+-0.02,,,
68.91,760,0.259,0.33,+-0.02,,,
68.88,760,0.242,0.325,+-0.02,,,
69.08,760,0.211,0.305,+-0.02,,,
69.28,760,0.176,0.289,+-0.02,,,
69.59,760,0.146,0.265,+-0.02,,,
69.43,760,0.538,0.442,+-0.02,,,
68.9,760,0.258,0.332,+-0.02,,,
