"T, K","P, Pa",X,Y,T Err,P Err,X Err,Y Err
298.15,4140,0.1255,,+-0.002,3,+-0.0002,
298.15,5888,0.2221,,+-0.002,3,+-0.0002,
298.15,7830,0.329,,+-0.002,3,+-0.0002,
298.15,9623,0.427,,+-0.002,3,+-0.0002,
298.15,11462,0.5274,,+-0.002,3,+-0.0002,
298.15,10587,0.4795,,+-0.002,3,+-0.0002,
298.15,12550,0.5867,,+-0.002,3,+-0.0002,
298.15,14584,0.6979,,+-0.002,3,+-0.0002,
298.15,16563,0.8055,,+-0.002,3,+-0.0002,
298.15,18240,0.896,,+-0.002,3,+-0.0002,
