"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
100,59.87,0.0,0.0,0.01,0.1%,0.0002,0.0002
100,60.4,0.1,0.1061,0.01,0.1%,0.0002,0.0002
100,60.85,0.2,0.2093,0.01,0.1%,0.0002,0.0002
100,61.24,0.3,0.3104,0.01,0.1%,0.0002,0.0002
100,61.57,0.4,0.4099,0.01,0.1%,0.0002,0.0002
100,61.83,0.5,0.5083,0.01,0.1%,0.0002,0.0002
100,62.04,0.6,0.6062,0.01,0.1%,0.0002,0.0002
100,62.19,0.7,0.7039,0.01,0.1%,0.0002,0.0002
100,62.3,0.8,0.802,0.01,0.1%,0.0002,0.0002
100,62.37,0.9,0.9006,0.01,0.1%,0.0002,0.0002
100,62.4,1.0,1.0,0.01,0.1%,0.0002,0.0002
