"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
160,383.8,1.0,1.0,0.02,0.3,,
160,400.0,0.9901,0.9685,0.02,0.3,,
160,450.0,0.9591,0.8847,0.02,0.3,,
160,500.0,0.9274,0.8168,0.02,0.3,,
160,550.0,0.8957,0.7623,0.02,0.3,,
160,600.0,0.863,0.716,0.02,0.3,,
160,650.0,0.8302,0.6782,0.02,0.3,,
160,700.0,0.7981,0.6487,0.02,0.3,,
160,750.0,0.7662,0.6257,0.02,0.3,,
160,800.0,0.7334,0.607,0.02,0.3,,
160,850.0,0.7002,0.5932,0.02,0.3,,
160,900.0,0.6652,0.5838,0.02,0.3,,
160,950.0,0.6265,0.5798,0.02,0.3,,
160,976.0,0.593,0.593,0.02,0.3,,
160,941.0,,0.579,0.02,0.3,,
