"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
370.5,101.3,0.304,0.124,,+-0.1,+-0.001,+-0.001
366.9,101.3,0.076,0.2574,,+-0.1,+-0.001,+-0.001
364.3,101.3,0.111,0.338,,+-0.1,+-0.001,+-0.001
362.0,101.3,0.147,0.407,,+-0.1,+-0.001,+-0.001
359.7,101.3,0.185,0.469,,+-0.1,+-0.001,+-0.001
356.5,101.3,0.25,0.556,,+-0.1,+-0.001,+-0.001
353.6,101.3,0.348,0.641,,+-0.1,+-0.001,+-0.001
351.5,101.3,0.409,0.694,,+-0.1,+-0.001,+-0.001
349.0,101.3,0.498,0.744,,+-0.1,+-0.001,+-0.001
347.8,101.3,0.55,0.77,,+-0.1,+-0.001,+-0.001
345.0,101.3,0.681,0.843,,+-0.1,+-0.001,+-0.001
343.7,101.3,0.752,0.877,,+-0.1,+-0.001,+-0.001
342.5,101.3,0.808,0.906,,+-0.1,+-0.001,+-0.001
341.2,101.3,0.895,0.949,,+-0.1,+-0.001,+-0.001
