"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
-230,0.094,0.0,0.0,0.1,+-1.0,,
-230,0.136,0.0061,0.331,0.1,+-1.0,,
-230,0.5,0.052,0.7875,0.1,+-1.0,,
-230,1.0,0.118,0.898,0.1,+-1.0,,
-230,1.703,0.2144,0.9569,0.1,+-1.0,,
-230,2.25,0.284,0.9725,0.1,+-1.0,,
-230,3.0,0.384,0.982,0.1,+-1.0,,
-230,3.595,0.4664,0.986,0.1,+-1.0,,
-230,4.077,0.53,0.989,0.1,+-1.0,,
-230,5.402,0.706,0.994,0.1,+-1.0,,
-230,6.0,0.785,0.995,0.1,+-1.0,,
-230,6.591,0.865,0.9968,0.1,+-1.0,,
-230,7.0,0.9175,0.998,0.1,+-1.0,,
-230,7.6,1.0,1.0,0.1,+-1.0,,
