"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
358.15,0.1183,0.001,0.076,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.1443,0.025,0.281,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.1591,0.037,0.345,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.2301,0.114,0.588,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.4074,0.296,0.814,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.5705,0.478,0.909,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.6342,0.541,0.936,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.6526,0.556,0.941,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.6941,0.607,0.95,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.7633,0.678,0.967,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.7673,0.689,0.966,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.8334,0.749,0.972,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.877,0.802,0.986,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.894,0.817,0.985,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,0.991,0.911,0.993,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,1.0044,0.923,0.996,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,1.0615,0.982,0.996,+-0.02,+-0.0002,+-0.003,+-0.003
358.15,1.0776,1.0,1.0,+-0.02,+-0.0002,+-0.003,+-0.003
