"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
73.8,740,1.0,1.0,+-0.1,+-0.5,,
76.5,740,0.903,0.985,+-0.1,+-0.5,,
80.6,740,0.769,0.96,+-0.1,+-0.5,,
84.0,740,0.666,0.923,+-0.1,+-0.5,,
87.9,740,0.572,0.866,+-0.1,+-0.5,,
90.8,740,0.485,0.817,+-0.1,+-0.5,,
93.5,740,0.422,0.752,+-0.1,+-0.5,,
99.6,740,0.298,0.587,+-0.1,+-0.5,,
102.4,740,0.247,0.51,+-0.1,+-0.5,,
104.6,740,0.21,0.44,+-0.1,+-0.5,,
106.4,740,0.183,0.39,+-0.1,+-0.5,,
107.6,740,0.162,0.35,+-0.1,+-0.5,,
111.8,740,0.087,0.18,+-0.1,+-0.5,,
116.8,740,0.0,0.0,+-0.1,+-0.5,,
