"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
100,227.3,0.0,0.0,0.03,0.15,0.25%,0.25%
100,250.0,0.048,0.118,0.03,0.15,0.25%,0.25%
100,300.0,0.157,0.317,0.03,0.15,0.25%,0.25%
100,350.0,0.26,0.447,0.03,0.15,0.25%,0.25%
100,400.0,0.361,0.543,0.03,0.15,0.25%,0.25%
100,450.0,0.461,0.626,0.03,0.15,0.25%,0.25%
100,500.0,0.554,0.697,0.03,0.15,0.25%,0.25%
100,550.0,0.643,0.759,0.03,0.15,0.25%,0.25%
100,600.0,0.727,0.813,0.03,0.15,0.25%,0.25%
100,650.0,0.809,0.863,0.03,0.15,0.25%,0.25%
100,700.0,0.894,0.912,0.03,0.15,0.25%,0.25%
100,722.0,0.93,0.93,0.03,0.15,0.25%,0.25%
100,720.0,,0.931,0.03,0.15,0.25%,0.25%
