"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
200.0,96.4,0.0,,+-0.1,+-0.13,,
199.6,96.4,0.0696,,+-0.1,+-0.13,,
198.4,96.4,0.1182,,+-0.1,+-0.13,,
197.3,96.4,0.1896,,+-0.1,+-0.13,,
196.8,96.4,0.2262,,+-0.1,+-0.13,,
195.1,96.4,0.2873,,+-0.1,+-0.13,,
194.0,96.4,0.3542,,+-0.1,+-0.13,,
192.7,96.4,0.4046,,+-0.1,+-0.13,,
192.2,96.4,0.4514,,+-0.1,+-0.13,,
190.5,96.4,0.5236,,+-0.1,+-0.13,,
189.8,96.4,0.5618,,+-0.1,+-0.13,,
188.9,96.4,0.621,,+-0.1,+-0.13,,
188.3,96.4,0.6509,,+-0.1,+-0.13,,
187.1,96.4,0.6962,,+-0.1,+-0.13,,
186.3,96.4,0.7356,,+-0.1,+-0.13,,
185.4,96.4,0.7663,,+-0.1,+-0.13,,
184.4,96.4,0.8062,,+-0.1,+-0.13,,
183.6,96.4,0.8575,,+-0.1,+-0.13,,
183.3,96.4,0.8706,,+-0.1,+-0.13,,
181.7,96.4,0.9643,,+-0.1,+-0.13,,
180.0,96.4,1.0,,+-0.1,+-0.13,,
