"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
315.0,16.44,0.0,0.0,0.01,0.01,,
315.0,22.9,0.047,0.3033,0.01,0.01,,
315.0,29.42,0.1055,0.4871,0.01,0.01,,
315.0,32.0,0.1413,0.538,0.01,0.01,,
315.0,37.07,0.2585,0.631,0.01,0.01,,
315.0,38.99,0.3374,0.6597,0.01,0.01,,
315.0,41.0,0.4811,0.6984,0.01,0.01,,
315.0,42.24,0.6248,0.7352,0.01,0.01,,
315.0,42.8,0.7647,0.7742,0.01,0.01,,
315.0,42.59,0.8583,0.8175,0.01,0.01,,
315.0,42.25,0.8934,0.8425,0.01,0.01,,
315.0,41.13,0.9482,0.899,0.01,0.01,,
315.0,40.19,0.9738,0.9394,0.01,0.01,,
315.0,39.25,0.9919,0.9781,0.01,0.01,,
315.0,38.69,1.0,1.0,0.01,0.01,,
