"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
160,100,,0.9928,+-0.5,,,
160,150,,0.997,+-0.5,,,
160,200,,0.9967,+-0.5,,,
160,250,,0.999923,+-0.5,,,
160,420,0.0422,,+-0.5,,,
160,500,0.0513,0.999,+-0.5,,,
160,700,0.0602,0.9993,+-0.5,,,
160,800,0.078,,+-0.5,,,
160,900,0.089,,+-0.5,,,
160,950,0.0912,0.99775,+-0.5,,,
160,1200,0.113,0.9991,+-0.5,,,
160,1250,0.1186,0.997,+-0.5,,,
160,1330,,0.9987,+-0.5,,,
160,1700,0.1713,0.99896,+-0.5,,,
160,1750,0.163,0.999,+-0.5,,,
160,1750,0.17,,+-0.5,,,
160,2000,0.198,0.99871,+-0.5,,,
160,2100,0.1935,0.99841,+-0.5,,,
160,2500,0.219,,+-0.5,,,
160,2500,0.228,0.99817,+-0.5,,,
160,2600,0.227,0.99819,+-0.5,,,
160,2800,0.244,0.99844,+-0.5,,,
160,3000,0.259,0.99824,+-0.5,,,
160,3000,0.251,0.99845,+-0.5,,,
160,3250,0.2755,0.9985,+-0.5,,,
160,3400,0.278,,+-0.5,,,
160,3500,0.291,0.99802,+-0.5,,,
160,3750,0.301,0.99757,+-0.5,,,
160,4100,0.327,0.99744,+-0.5,,,
160,4250,0.3339,0.99649,+-0.5,,,
160,4300,0.335,0.99846,+-0.5,,,
160,4500,0.35,0.9966,+-0.5,,,
160,4700,0.359,0.99734,+-0.5,,,
160,4900,0.373,0.9966,+-0.5,,,
160,5000,0.363,0.995,+-0.5,,,
