"T, deg.F","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
252.5,760,0.126,0.726,+-0.18,,,
235.6,760,0.234,0.856,+-0.18,,,
210.9,760,0.408,0.933,+-0.18,,,
190.3,760,0.541,0.965,+-0.18,,,
174.5,760,0.65,0.976,+-0.18,,,
172.7,760,0.734,0.984,+-0.18,,,
163.9,760,0.805,0.988,+-0.18,,,
153.5,760,0.865,0.992,+-0.18,,,
150.9,760,0.917,0.995,+-0.18,,,
