"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
40,279.5,1.0,1.0,+-0.01,+-0.05,+-0.0005,+-0.0005
40,276.48,0.774,0.794,+-0.01,+-0.05,+-0.0005,+-0.0005
40,269.48,0.587,0.656,+-0.01,+-0.05,+-0.0005,+-0.0005
40,259.16,0.44,0.555,+-0.01,+-0.05,+-0.0005,+-0.0005
40,246.02,0.303,0.453,+-0.01,+-0.05,+-0.0005,+-0.0005
40,238.56,0.241,0.398,+-0.01,+-0.05,+-0.0005,+-0.0005
40,223.28,0.154,0.303,+-0.01,+-0.05,+-0.0005,+-0.0005
40,205.61,0.077,0.185,+-0.01,+-0.05,+-0.0005,+-0.0005
40,198.72,0.049,0.128,+-0.01,+-0.05,+-0.0005,+-0.0005
40,182.8,0.0,0.0,+-0.01,+-0.05,+-0.0005,+-0.0005
