"T, deg.C","P, Torr",X,Y,T Err,P Err,X Err,Y Err
55.0,116.1,0.093,0.048,+-0.1,+-0.5,+-0.002,+-0.010
55.0,112.6,0.163,0.066,+-0.1,+-0.5,+-0.002,+-0.010
55.0,110.4,0.247,0.08,+-0.1,+-0.5,+-0.002,+-0.010
55.0,109.1,0.291,0.088,+-0.1,+-0.5,+-0.002,+-0.010
55.0,107.8,0.357,0.092,+-0.1,+-0.5,+-0.002,+-0.010
55.0,106.1,0.362,0.092,+-0.1,+-0.5,+-0.002,+-0.010
55.0,104.7,0.417,0.091,+-0.1,+-0.5,+-0.002,+-0.010
55.0,100.1,0.512,0.093,+-0.1,+-0.5,+-0.002,+-0.010
55.0,99.2,0.545,0.101,+-0.1,+-0.5,+-0.002,+-0.010
55.0,98.7,0.559,0.098,+-0.1,+-0.5,+-0.002,+-0.010
55.0,87.5,0.752,0.121,+-0.1,+-0.5,+-0.002,+-0.010
55.0,85.3,0.793,0.131,+-0.1,+-0.5,+-0.002,+-0.010
55.0,84.9,0.796,0.12,+-0.1,+-0.5,+-0.002,+-0.010
