"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
-40,23.752,1.0,,+-0.05,+-0.05,,
-40,40.111,0.9782,,+-0.05,+-0.05,,
-40,57.867,0.9548,,+-0.05,+-0.05,,
-40,99.015,0.9001,,+-0.05,+-0.05,,
-40,177.94,0.7955,,+-0.05,+-0.05,,
-40,239.86,0.714,,+-0.05,+-0.05,,
-40,298.47,0.6356,,+-0.05,+-0.05,,
-40,320.05,0.6141,,+-0.05,+-0.05,,
-40,387.83,0.5148,,+-0.05,+-0.05,,
-40,396.05,0.5064,,+-0.05,+-0.05,,
-40,459.4,0.4169,,+-0.05,+-0.05,,
-40,468.81,0.4023,,+-0.05,+-0.05,,
-40,526.56,0.3236,,+-0.05,+-0.05,,
-40,537.64,0.303,,+-0.05,+-0.05,,
-40,610.56,0.1997,,+-0.05,+-0.05,,
-40,690.39,0.0926,,+-0.05,+-0.05,,
-40,725.76,0.0476,,+-0.05,+-0.05,,
-40,743.67,0.0256,,+-0.05,+-0.05,,
-40,764.73,0.0,,+-0.05,+-0.05,,
