"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
348.15,151.267,0.0,0.0,,,,
348.15,186.206,0.05,0.2219,,,,
348.15,216.304,0.1,0.3583,,,,
348.15,241.981,0.15,0.4502,,,,
348.15,263.643,0.2,0.516,,,,
348.15,281.695,0.25,0.5652,,,,
348.15,296.538,0.3,0.6031,,,,
348.15,308.577,0.35,0.6332,,,,
348.15,318.214,0.4,0.6575,,,,
348.15,325.829,0.45,0.6777,,,,
348.15,331.779,0.5,0.6949,,,,
348.15,336.417,0.55,0.7101,,,,
348.15,340.079,0.6,0.7244,,,,
348.15,342.875,0.65,0.7384,,,,
348.15,344.785,0.7,0.7523,,,,
348.15,345.783,0.75,0.7666,,,,
348.15,345.761,0.8,0.7845,,,,
348.15,344.022,0.85,0.8101,,,,
348.15,339.613,0.9,0.8454,,,,
348.15,330.113,0.95,0.8978,,,,
348.15,308.332,1.0,1.0,,,,
