"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
356.4,101.3,0.0753,0.0461,+-0.01,+-0.1,,
356.66,101.3,0.1183,0.0608,+-0.01,+-0.1,,
357.36,101.3,0.1717,0.0878,+-0.01,+-0.1,,
358.03,101.3,0.2397,0.109,+-0.01,+-0.1,,
359.28,101.3,0.343,0.1368,+-0.01,+-0.1,,
360.77,101.3,0.4497,0.1622,+-0.01,+-0.1,,
363.15,101.3,0.5764,0.1943,+-0.01,+-0.1,,
364.86,101.3,0.6539,0.2208,+-0.01,+-0.1,,
368.86,101.3,0.7592,0.2764,+-0.01,+-0.1,,
376.46,101.3,0.8785,0.3879,+-0.01,+-0.1,,
385.25,101.3,0.9365,0.5469,+-0.01,+-0.1,,
394.0,101.3,0.974,0.7411,+-0.01,+-0.1,,
