"T, K","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
298.15,58.4,0.102,0.443,,,,
298.15,76.5,0.204,0.604,,,,
298.15,92.8,0.297,0.723,,,,
298.15,113.6,0.41,0.805,,,,
298.15,130.6,0.501,0.857,,,,
298.15,149.1,0.602,0.898,,,,
298.15,165.6,0.696,0.93,,,,
298.15,179.8,0.781,0.952,,,,
298.15,198.5,0.895,0.978,,,,
