"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
298.15,44.15,0.0,0.0,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,44.29,0.0509,0.0252,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,43.66,0.095,0.0402,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,43.09,0.1635,0.0526,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,42.81,0.2064,0.0584,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,42.0,0.2671,0.067,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,41.22,0.3137,0.0744,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,40.05,0.3785,0.0859,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,38.17,0.4777,0.104,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,36.55,0.5686,0.1184,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,34.76,0.6764,0.1319,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,32.62,0.7706,0.1466,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,30.87,0.8138,0.1588,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,27.03,0.8692,0.1883,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,19.1,0.9322,0.2775,+-0.1,+-0.50,+-0.0001,+-0.0001
298.15,3.9,1.0,1.0,+-0.1,+-0.50,+-0.0001,+-0.0001
