"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
50,5.0,0.06,,+-0.05,+-0.07,+-0.0014,+-0.0014
50,10.0,0.119,,+-0.05,+-0.07,+-0.0014,+-0.0014
50,15.0,0.175,,+-0.05,+-0.07,+-0.0014,+-0.0014
50,20.0,0.23,,+-0.05,+-0.07,+-0.0014,+-0.0014
50,25.0,0.278,,+-0.05,+-0.07,+-0.0014,+-0.0014
50,30.0,0.323,,+-0.05,+-0.07,+-0.0014,+-0.0014
50,35.0,0.364,,+-0.05,+-0.07,+-0.0014,+-0.0014
50,40.0,0.401,,+-0.05,+-0.07,+-0.0014,+-0.0014
50,45.0,0.436,,+-0.05,+-0.07,+-0.0014,+-0.0014
50,50.0,0.47,,+-0.05,+-0.07,+-0.0014,+-0.0014
50,55.0,0.501,,+-0.05,+-0.07,+-0.0014,+-0.0014
50,60.0,0.531,,+-0.05,+-0.07,+-0.0014,+-0.0014
50,65.0,0.56,,+-0.05,+-0.07,+-0.0014,+-0.0014
50,70.0,0.585,,+-0.05,+-0.07,+-0.0014,+-0.0014
50,75.0,0.613,,+-0.05,+-0.07,+-0.0014,+-0.0014
