"T, K","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
77.4,760,0.0248,0.0577,+-0.1,+-0.5,2e-05,2e-05
77.2,760,0.0308,0.0706,+-0.1,+-0.5,2e-05,2e-05
76.8,760,0.0468,0.1007,+-0.1,+-0.5,2e-05,2e-05
76.6,760,0.0535,0.1114,+-0.1,+-0.5,2e-05,2e-05
76.4,760,0.0615,0.1245,+-0.1,+-0.5,2e-05,2e-05
76.2,760,0.0691,0.1391,+-0.1,+-0.5,2e-05,2e-05
76.1,760,0.0734,0.1447,+-0.1,+-0.5,2e-05,2e-05
75.9,760,0.0848,0.1633,+-0.1,+-0.5,2e-05,2e-05
75.6,760,0.1005,0.1868,+-0.1,+-0.5,2e-05,2e-05
75.4,760,0.1093,0.1971,+-0.1,+-0.5,2e-05,2e-05
75.1,760,0.1216,0.2138,+-0.1,+-0.5,2e-05,2e-05
75.0,760,0.1291,0.2234,+-0.1,+-0.5,2e-05,2e-05
74.8,760,0.1437,0.2402,+-0.1,+-0.5,2e-05,2e-05
74.7,760,0.1468,0.2447,+-0.1,+-0.5,2e-05,2e-05
74.5,760,0.1606,0.262,+-0.1,+-0.5,2e-05,2e-05
74.3,760,0.1688,0.2712,+-0.1,+-0.5,2e-05,2e-05
74.2,760,0.1741,0.278,+-0.1,+-0.5,2e-05,2e-05
74.1,760,0.1796,0.2836,+-0.1,+-0.5,2e-05,2e-05
74.0,760,0.1992,0.3036,+-0.1,+-0.5,2e-05,2e-05
73.8,760,0.2098,0.3143,+-0.1,+-0.5,2e-05,2e-05
73.7,760,0.2188,0.3234,+-0.1,+-0.5,2e-05,2e-05
73.3,760,0.2497,0.3517,+-0.1,+-0.5,2e-05,2e-05
73.0,760,0.2786,0.3781,+-0.1,+-0.5,2e-05,2e-05
72.7,760,0.3086,0.4002,+-0.1,+-0.5,2e-05,2e-05
72.4,760,0.3377,0.4221,+-0.1,+-0.5,2e-05,2e-05
72.3,760,0.3554,0.4331,+-0.1,+-0.5,2e-05,2e-05
72.0,760,0.4019,0.4611,+-0.1,+-0.5,2e-05,2e-05
71.9,760,0.4184,0.4691,+-0.1,+-0.5,2e-05,2e-05
71.9,760,0.4244,0.473,+-0.1,+-0.5,2e-05,2e-05
71.8,760,0.447,0.487,+-0.1,+-0.5,2e-05,2e-05
71.8,760,0.4651,0.4934,+-0.1,+-0.5,2e-05,2e-05
71.7,760,0.4755,0.4995,+-0.1,+-0.5,2e-05,2e-05
71.7,760,0.51,0.5109,+-0.1,+-0.5,2e-05,2e-05
71.7,760,0.5669,0.5312,+-0.1,+-0.5,2e-05,2e-05
71.7,760,0.5965,0.5452,+-0.1,+-0.5,2e-05,2e-05
71.8,760,0.6211,0.5652,+-0.1,+-0.5,2e-05,2e-05
71.9,760,0.6425,0.5831,+-0.1,+-0.5,2e-05,2e-05
72.0,760,0.6695,0.604,+-0.1,+-0.5,2e-05,2e-05
72.1,760,0.6854,0.6169,+-0.1,+-0.5,2e-05,2e-05
72.3,760,0.7192,0.6475,+-0.1,+-0.5,2e-05,2e-05
72.5,760,0.7451,0.6725,+-0.1,+-0.5,2e-05,2e-05
72.8,760,0.7747,0.702,+-0.1,+-0.5,2e-05,2e-05
73.0,760,0.7973,0.7227,+-0.1,+-0.5,2e-05,2e-05
73.2,760,0.8194,0.7449,+-0.1,+-0.5,2e-05,2e-05
73.5,760,0.8398,0.7661,+-0.1,+-0.5,2e-05,2e-05
73.7,760,0.8503,0.7773,+-0.1,+-0.5,2e-05,2e-05
73.9,760,0.8634,0.7914,+-0.1,+-0.5,2e-05,2e-05
74.1,760,0.879,0.8074,+-0.1,+-0.5,2e-05,2e-05
74.3,760,0.8916,0.8216,+-0.1,+-0.5,2e-05,2e-05
74.7,760,0.9154,0.8504,+-0.1,+-0.5,2e-05,2e-05
75.1,760,0.9367,0.8798,+-0.1,+-0.5,2e-05,2e-05
75.3,760,0.9445,0.8919,+-0.1,+-0.5,2e-05,2e-05
75.5,760,0.9526,0.9038,+-0.1,+-0.5,2e-05,2e-05
75.7,760,0.9634,0.9208,+-0.1,+-0.5,2e-05,2e-05
76.0,760,0.9748,0.9348,+-0.1,+-0.5,2e-05,2e-05
76.2,760,0.9843,0.9526,+-0.1,+-0.5,2e-05,2e-05
76.4,760,0.9903,0.9686,+-0.1,+-0.5,2e-05,2e-05
