"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
69.8,26.94,0.0,0.0,+-0.05,+-0.01,,
65.6,26.94,0.025,0.183,+-0.05,+-0.01,,
62.1,26.94,0.067,0.283,+-0.05,+-0.01,,
58.6,26.94,0.119,0.391,+-0.05,+-0.01,,
55.5,26.94,0.182,0.529,+-0.05,+-0.01,,
53.1,26.94,0.229,0.576,+-0.05,+-0.01,,
50.8,26.94,0.305,0.642,+-0.05,+-0.01,,
50.0,26.94,0.345,0.65,+-0.05,+-0.01,,
48.4,26.94,0.401,0.697,+-0.05,+-0.01,,
47.2,26.94,0.466,0.728,+-0.05,+-0.01,,
46.1,26.94,0.544,0.761,+-0.05,+-0.01,,
45.0,26.94,0.62,0.801,+-0.05,+-0.01,,
44.7,26.94,0.625,0.809,+-0.05,+-0.01,,
43.7,26.94,0.696,0.844,+-0.05,+-0.01,,
42.8,26.94,0.761,0.878,+-0.05,+-0.01,,
42.3,26.94,0.809,0.904,+-0.05,+-0.01,,
41.7,26.94,0.859,0.929,+-0.05,+-0.01,,
41.3,26.94,0.907,0.952,+-0.05,+-0.01,,
40.9,26.94,0.95,0.974,+-0.05,+-0.01,,
40.7,26.94,0.975,0.986,+-0.05,+-0.01,,
40.5,26.94,0.992,0.995,+-0.05,+-0.01,,
40.4,26.94,1.0,1.0,+-0.05,+-0.01,,
