"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
394.26,22.52,0.0,0.0,0.025,+-0.03,,
394.26,30.3,0.0531,0.184,0.025,+-0.03,,
394.26,34.57,0.0824,0.25,0.025,+-0.03,,
394.26,42.47,0.1372,0.3394,0.025,+-0.03,,
394.26,47.7,0.1745,0.382,0.025,+-0.03,,
394.26,51.93,0.2062,0.411,0.025,+-0.03,,
394.26,55.44,0.2327,0.425,0.025,+-0.03,,
394.26,60.45,0.276,0.442,0.025,+-0.03,,
394.26,65.02,0.3272,0.3944,0.025,+-0.03,,
394.26,64.87,0.3264,0.3987,0.025,+-0.03,,
394.26,63.83,0.3082,0.4148,0.025,+-0.03,,
394.26,62.34,0.2922,0.4282,0.025,+-0.03,,
394.26,58.06,0.2524,0.4292,0.025,+-0.03,,
394.26,65.55,0.3497,0.388,0.025,+-0.03,,
