"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
175.3,45.34,1.0,1.0,0.1,0.05,0.0015,0.0015
175.2,47.74,0.9261,0.8792,0.1,0.05,0.0015,0.0015
175.3,49.6,0.8722,0.806,0.1,0.05,0.0015,0.0015
175.3,51.45,0.8091,0.7377,0.1,0.05,0.0015,0.0015
175.2,52.24,0.7459,0.6774,0.1,0.05,0.0015,0.0015
175.3,53.09,0.687,0.6278,0.1,0.05,0.0015,0.0015
175.3,53.31,0.6778,0.6208,0.1,0.05,0.0015,0.0015
175.2,53.49,0.6047,0.5664,0.1,0.05,0.0015,0.0015
175.2,53.85,0.5732,0.5402,0.1,0.05,0.0015,0.0015
175.2,53.81,0.5716,0.5437,0.1,0.05,0.0015,0.0015
175.2,53.8,0.5666,0.5387,0.1,0.05,0.0015,0.0015
175.3,54.14,0.5298,0.5122,0.1,0.05,0.0015,0.0015
175.3,54.14,0.5034,0.4924,0.1,0.05,0.0015,0.0015
175.3,54.41,0.481,0.4753,0.1,0.05,0.0015,0.0015
175.3,54.21,0.35,0.3833,0.1,0.05,0.0015,0.0015
175.3,53.31,0.2719,0.3217,0.1,0.05,0.0015,0.0015
175.3,53.05,0.2373,0.2917,0.1,0.05,0.0015,0.0015
175.3,52.23,0.1783,0.2365,0.1,0.05,0.0015,0.0015
175.3,51.48,0.1275,0.1715,0.1,0.05,0.0015,0.0015
175.3,50.68,0.0948,0.1411,0.1,0.05,0.0015,0.0015
175.4,49.83,0.0487,0.0774,0.1,0.05,0.0015,0.0015
175.3,47.55,0.0,0.0,0.1,0.05,0.0015,0.0015
