"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
369.26,14.17,0.0,0.0,0.025,+-0.03,,
369.26,16.06,0.0136,0.092,0.025,+-0.03,,
369.26,18.87,0.0346,0.197,0.025,+-0.03,,
369.26,25.16,0.081,0.363,0.025,+-0.03,,
369.26,38.8,0.1855,0.534,0.025,+-0.03,,
369.26,40.52,0.1976,0.564,0.025,+-0.03,,
369.26,48.33,0.257,0.598,0.025,+-0.03,,
369.26,57.19,0.325,0.629,0.025,+-0.03,,
369.26,59.31,0.3415,0.634,0.025,+-0.03,,
369.26,67.27,0.407,0.652,0.025,+-0.03,,
369.26,75.01,0.479,0.643,0.025,+-0.03,,
369.26,78.54,0.526,0.629,0.025,+-0.03,,
369.26,79.51,0.553,0.593,0.025,+-0.03,,
369.26,78.95,0.533,0.604,0.025,+-0.03,,
369.26,78.54,0.526,0.609,0.025,+-0.03,,
