"T, K","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
358,134.28,0.0874,0.2991,,,,
358,154.4,0.1338,0.4151,,,,
358,173.07,0.1732,0.4979,,,,
358,199.9,0.2286,0.5997,,,,
358,242.6,0.3265,0.7219,,,,
358,278.67,0.4151,0.8043,,,,
358,323.13,0.5281,0.8751,,,,
358,358.11,0.6219,0.9159,,,,
358,403.43,0.7583,0.9591,,,,
358,435.86,0.8494,0.9776,,,,
