"T, deg.C","P, Torr",X,Y,T Err,P Err,X Err,Y Err
83.0,715,0.1026,0.0688,+-0.1,+-1,,
84.1,715,0.1997,0.1385,+-0.1,+-1,,
85.1,715,0.2991,0.2143,+-0.1,+-1,,
85.6,715,0.4024,0.2978,+-0.1,+-1,,
88.3,715,0.5087,0.389,+-0.1,+-1,,
91.6,715,0.6949,0.564,+-0.1,+-1,,
92.9,715,0.7954,0.6715,+-0.1,+-1,,
95.3,715,0.8943,0.7984,+-0.1,+-1,,
