"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
423.06,1.505,0.503,,+-0.05,+-0.01,0.001,
433.13,1.855,0.503,,+-0.05,+-0.01,0.001,
442.96,2.25,0.503,,+-0.05,+-0.01,0.001,
452.77,2.7,0.503,,+-0.05,+-0.01,0.001,
462.48,3.189,0.503,,+-0.05,+-0.01,0.001,
472.64,3.749,0.503,,+-0.05,+-0.01,0.001,
482.79,4.435,0.503,,+-0.05,+-0.01,0.001,
493.31,4.978,0.503,,+-0.05,+-0.01,0.001,
500.37,5.363,0.503,,+-0.05,+-0.01,0.001,
502.37,5.448,0.503,,+-0.05,+-0.01,0.001,
504.7,5.504,0.503,,+-0.05,+-0.01,0.001,
505.7,5.489,0.503,,+-0.05,+-0.01,0.001,
506.79,5.44,0.503,,+-0.05,+-0.01,0.001,
