"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
351.46,101.32,0.0,0.0,,,,
345.75,101.32,0.0688,0.2483,,,,
341.75,101.32,0.1543,0.4032,,,,
340.75,101.32,0.1776,0.4382,,,,
340.15,101.32,0.1906,0.456,,,,
339.15,101.32,0.209,0.4798,,,,
336.75,101.32,0.3055,0.577,,,,
335.85,101.32,0.3432,0.6043,,,,
335.15,101.32,0.3721,0.6243,,,,
334.45,101.32,0.409,0.6463,,,,
334.15,101.32,0.4339,0.6586,,,,
333.55,101.32,0.4733,0.6792,,,,
333.05,101.32,0.5229,0.7002,,,,
332.55,101.32,0.5669,0.7223,,,,
332.05,101.32,0.6292,0.743,,,,
331.15,101.32,0.7248,0.7915,,,,
330.85,101.32,0.7674,0.8123,,,,
330.55,101.32,0.8069,0.8388,,,,
330.15,101.32,0.8456,0.8727,,,,
329.98,101.32,0.8859,0.8997,,,,
329.85,101.32,0.9237,0.9288,,,,
329.82,101.32,0.9432,0.945,,,,
329.8,101.32,0.9541,0.9544,,,,
329.79,101.32,0.9624,0.9621,,,,
329.81,101.32,0.97,0.9692,,,,
329.82,101.32,0.9796,0.9784,,,,
329.85,101.32,0.988,0.9867,,,,
329.82,101.32,1.0,1.0,,,,
