"T, K","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
298.15,42.2,0.096,0.535,,,,
298.15,62.0,0.202,0.732,,,,
298.15,80.9,0.297,0.8,,,,
298.15,103.1,0.405,0.876,,,,
298.15,121.5,0.499,0.913,,,,
298.15,138.3,0.594,0.929,,,,
298.15,155.5,0.697,0.955,,,,
298.15,171.5,0.788,0.971,,,,
298.15,191.8,0.888,0.986,,,,
