"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
0.01,7.25,0.0,0.0,+-0.02,0.1%,,
0.01,50.4,0.0257,0.837,+-0.02,0.1%,,
0.01,100.4,0.05591,0.9161,+-0.02,0.1%,,
0.01,200.3,0.1124,0.9516,+-0.02,0.1%,,
0.01,300.4,0.1643,0.9639,+-0.02,0.1%,,
0.01,400.0,0.2135,0.9689,+-0.02,0.1%,,
0.01,500.0,0.258,0.9716,+-0.02,0.1%,,
0.01,700.0,0.3455,0.9729,+-0.02,0.1%,,
0.01,800.0,0.3905,0.9728,+-0.02,0.1%,,
0.01,1000.0,0.4651,0.9696,+-0.02,0.1%,,
0.01,1200.0,0.5466,0.9625,+-0.02,0.1%,,
0.01,1400.0,0.6326,0.9499,+-0.02,0.1%,,
0.01,1600.0,0.7498,0.9175,+-0.02,0.1%,,
0.01,1652.0,0.8543,0.8543,+-0.02,0.1%,,
