"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
135.0,1.482,0.0,0.0,+-0.1,+-0.15%,,
135.0,1.613,0.0091,0.0774,+-0.1,+-0.15%,,
135.0,1.951,0.0286,0.2077,+-0.1,+-0.15%,,
135.0,2.503,0.0624,0.3448,+-0.1,+-0.15%,,
135.0,3.234,0.1073,0.4595,+-0.1,+-0.15%,,
135.0,4.226,0.1734,0.5511,+-0.1,+-0.15%,,
135.0,5.268,0.2425,0.5998,+-0.1,+-0.15%,,
135.0,5.923,0.291,0.6223,+-0.1,+-0.15%,,
135.0,6.66,0.3448,0.6265,+-0.1,+-0.15%,,
135.0,7.267,0.3929,0.6238,+-0.1,+-0.15%,,
135.0,7.715,0.4312,0.6141,+-0.1,+-0.15%,,
135.0,8.15,0.4817,0.5771,+-0.1,+-0.15%,,
135.0,8.294,0.5284,0.5284,+-0.1,+-0.15%,,
