"T, K","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
360.49,550,0.0504,0.331,,,,
358.94,550,0.0618,0.3676,,,,
351.61,550,0.2222,0.5678,,,,
349.29,550,0.3141,0.6215,,,,
348.39,550,0.393,0.6496,,,,
347.83,550,0.4421,0.6604,,,,
347.38,550,0.5196,0.6792,,,,
347.22,550,0.5583,0.7014,,,,
346.7,550,0.6488,0.7289,,,,
346.56,550,0.6811,0.7412,,,,
346.3,550,0.7655,0.78,,,,
346.23,550,0.8039,0.8039,,,,
346.31,550,0.8349,0.8176,,,,
346.5,550,0.8778,0.8582,,,,
346.97,550,0.9475,0.921,,,,
347.05,550,0.9536,0.9281,,,,
