"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
270.0,2.212,0.0,0.0,+-0.02,+-0.1%,+-0.002,+-0.002
270.0,2.434,0.0517,0.1056,+-0.02,+-0.1%,+-0.002,+-0.002
270.0,2.572,0.0858,0.1641,+-0.02,+-0.1%,+-0.002,+-0.002
270.0,2.635,0.1036,0.1898,+-0.02,+-0.1%,+-0.002,+-0.002
270.0,2.734,0.1332,0.2297,+-0.02,+-0.1%,+-0.002,+-0.002
270.0,2.87,0.1751,0.2824,+-0.02,+-0.1%,+-0.002,+-0.002
270.0,2.976,0.2116,0.3227,+-0.02,+-0.1%,+-0.002,+-0.002
270.0,3.083,0.2527,0.3632,+-0.02,+-0.1%,+-0.002,+-0.002
270.0,3.181,0.2931,0.4014,+-0.02,+-0.1%,+-0.002,+-0.002
270.0,3.265,0.3328,0.4362,+-0.02,+-0.1%,+-0.002,+-0.002
270.0,3.36,0.3819,0.4751,+-0.02,+-0.1%,+-0.002,+-0.002
270.0,3.45,0.4412,0.519,+-0.02,+-0.1%,+-0.002,+-0.002
270.0,3.451,0.4394,0.519,+-0.02,+-0.1%,+-0.002,+-0.002
270.0,3.519,0.4967,0.5594,+-0.02,+-0.1%,+-0.002,+-0.002
270.0,3.581,0.5616,0.6036,+-0.02,+-0.1%,+-0.002,+-0.002
270.0,3.61,0.6076,0.636,+-0.02,+-0.1%,+-0.002,+-0.002
270.0,3.636,0.6893,0.6914,+-0.02,+-0.1%,+-0.002,+-0.002
270.0,3.627,0.7392,0.7261,+-0.02,+-0.1%,+-0.002,+-0.002
270.0,3.621,0.769,0.7494,+-0.02,+-0.1%,+-0.002,+-0.002
270.0,3.613,0.7783,0.755,+-0.02,+-0.1%,+-0.002,+-0.002
270.0,3.585,0.8182,0.7864,+-0.02,+-0.1%,+-0.002,+-0.002
270.0,3.534,,0.8268,+-0.02,+-0.1%,+-0.002,+-0.002
270.0,3.486,0.894,0.8608,+-0.02,+-0.1%,+-0.002,+-0.002
270.0,3.449,0.9142,0.8788,+-0.02,+-0.1%,+-0.002,+-0.002
270.0,3.416,0.9328,0.9002,+-0.02,+-0.1%,+-0.002,+-0.002
270.0,3.282,0.9797,0.9645,+-0.02,+-0.1%,+-0.002,+-0.002
270.0,3.2,1.0,1.0,+-0.02,+-0.1%,+-0.002,+-0.002
