"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
45.0,224.7,0.0,0.0,+-0.03,+-0.5,,
45.0,250.3,0.009,0.1057,+-0.03,+-0.5,,
45.0,270.6,0.0161,0.1709,+-0.03,+-0.5,,
45.0,295.7,0.0268,0.2518,+-0.03,+-0.5,,
45.0,338.8,0.0471,0.3548,+-0.03,+-0.5,,
45.0,408.0,0.0926,0.4832,+-0.03,+-0.5,,
45.0,482.2,0.1617,0.5824,+-0.03,+-0.5,,
45.0,560.0,0.2798,0.6626,+-0.03,+-0.5,,
45.0,603.0,0.4026,0.7118,+-0.03,+-0.5,,
45.0,632.4,0.5151,0.7422,+-0.03,+-0.5,,
45.0,652.6,0.616,0.7736,+-0.03,+-0.5,,
45.0,670.8,0.7099,0.8054,+-0.03,+-0.5,,
45.0,684.1,0.8137,0.8514,+-0.03,+-0.5,,
45.0,691.3,0.9105,0.9113,+-0.03,+-0.5,,
45.0,690.1,0.9555,0.9504,+-0.03,+-0.5,,
45.0,686.1,0.9813,0.9779,+-0.03,+-0.5,,
45.0,684.9,0.9907,0.9888,+-0.03,+-0.5,,
45.0,682.1,1.0,1.0,+-0.03,+-0.5,,
