"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
343.15,526.6,0.0014,0.0049,,,,
343.15,527.36,0.0027,0.01,,,,
343.15,533.14,0.0088,0.0212,,,,
343.15,558.22,0.0356,0.0862,,,,
343.15,574.41,0.0589,0.13,,,,
343.15,596.75,0.0963,0.1927,,,,
343.15,628.29,0.1688,0.283,,,,
343.15,661.27,0.2918,0.3825,,,,
343.15,673.44,0.3685,0.4337,,,,
343.15,677.92,0.4143,0.4615,,,,
343.15,677.01,0.4213,0.4669,,,,
343.15,681.87,0.504,0.5134,,,,
343.15,685.67,0.5391,0.5325,,,,
343.15,679.97,0.6088,0.574,,,,
343.15,678.98,0.6524,0.6049,,,,
343.15,673.66,0.6825,0.6219,,,,
343.15,656.26,0.7794,0.6958,,,,
343.15,631.94,0.8672,0.7725,,,,
343.15,602.22,0.9338,0.864,,,,
343.15,582.01,0.963,0.9168,,,,
343.15,556.24,0.9955,0.9824,,,,
