"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
123.6,760,0.024,0.067,,+-0.2,,
118.5,760,0.088,0.234,,+-0.2,,
113.8,760,0.151,0.38,,+-0.2,,
109.6,760,0.213,0.489,,+-0.2,,
106.1,760,0.268,0.571,,+-0.2,,
102.6,760,0.327,0.647,,+-0.2,,
99.6,760,0.382,0.705,,+-0.2,,
96.7,760,0.439,0.753,,+-0.2,,
93.9,760,0.497,0.796,,+-0.2,,
93.9,760,0.498,0.798,,+-0.2,,
91.0,760,0.565,0.839,,+-0.2,,
88.3,760,0.632,0.874,,+-0.2,,
85.9,760,0.697,0.904,,+-0.2,,
83.8,760,0.759,0.928,,+-0.2,,
81.9,760,0.82,0.95,,+-0.2,,
80.2,760,0.877,0.967,,+-0.2,,
78.6,760,0.932,0.982,,+-0.2,,
77.2,760,0.982,0.996,,+-0.2,,
