"T, K","P, psi",X,Y,T Err,P Err,X Err,Y Err
293.15,0.92,0.9518,0.351,,,,
293.15,0.922,0.9518,0.351,,,,
293.15,0.952,0.9479,0.329,,,,
293.15,0.968,0.9479,0.329,,,,
293.15,1.236,0.9284,0.246,,,,
293.15,1.686,0.903,0.174,,,,
293.15,1.813,0.8958,0.159,,,,
293.15,2.754,0.8508,0.0941,,,,
293.15,2.814,0.8508,0.0941,,,,
293.15,2.796,0.8503,0.0936,,,,
293.15,2.824,0.8503,0.0936,,,,
293.15,3.064,0.8399,0.0834,,,,
293.15,3.116,0.8399,0.0834,,,,
293.15,4.257,0.8004,0.0548,,,,
293.15,4.276,0.8004,0.0548,,,,
293.15,4.42,0.7979,0.0534,,,,
293.15,4.418,0.7979,0.0534,,,,
293.15,4.551,0.7979,0.0534,,,,
293.15,6.805,0.7456,0.0313,,,,
293.15,6.806,0.7456,0.0313,,,,
293.15,9.674,0.6992,0.0198,,,,
293.15,9.855,0.6981,0.0196,,,,
293.15,9.838,0.6981,0.0196,,,,
293.15,19.394,0.6019,0.00783,,,,
293.15,19.396,0.6019,0.00783,,,,
293.15,20.593,0.5933,0.00722,,,,
293.15,20.591,0.5933,0.00722,,,,
293.15,20.443,0.5922,0.00715,,,,
293.15,20.432,0.5922,0.00715,,,,
293.15,36.17,0.4995,0.00309,,,,
293.15,36.082,0.4995,0.00309,,,,
293.15,36.395,0.4985,0.00306,,,,
293.15,36.261,0.4985,0.00306,,,,
293.15,77.51,0.3016,0.000624,,,,
293.15,77.512,0.3016,0.000624,,,,
293.15,77.829,0.2999,0.000617,,,,
293.15,77.979,0.2999,0.000617,,,,
293.15,96.158,0.2088,0.000323,,,,
293.15,96.15,0.2088,0.000323,,,,
293.15,96.028,0.2089,0.000324,,,,
293.15,96.038,0.2089,0.000324,,,,
293.15,109.317,0.1083,0.000155,,,,
293.15,109.292,0.1083,0.000155,,,,
293.15,110.416,0.1006,0.000145,,,,
293.15,110.391,0.1006,0.000145,,,,
293.15,110.508,0.1,0.000144,,,,
293.15,110.414,0.1,0.000144,,,,
293.15,115.97,0.0588,9.16e-05,,,,
293.15,116.009,0.0588,9.16e-05,,,,
293.15,117.458,0.0506,8.06e-05,,,,
293.15,117.508,0.0466,7.53e-05,,,,
293.15,117.434,0.0466,7.53e-05,,,,
293.15,117.572,0.0466,7.54e-05,,,,
293.15,117.578,0.0466,7.54e-05,,,,
293.15,118.085,0.0457,7.41e-05,,,,
293.15,118.417,0.0398,6.59e-05,,,,
293.15,118.225,0.0398,6.59e-05,,,,
