"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
303.15,6.18,1.0,,+-0.01,+-0.05,,
303.15,17.68,0.9034,,+-0.01,+-0.05,,
303.15,21.23,0.8763,,+-0.01,+-0.05,,
303.15,32.12,0.7881,,+-0.01,+-0.05,,
303.15,33.16,0.7784,,+-0.01,+-0.05,,
303.15,43.04,0.702,,+-0.01,+-0.05,,
303.15,55.2,0.6169,,+-0.01,+-0.05,,
303.15,61.49,0.5693,,+-0.01,+-0.05,,
303.15,69.43,0.5142,,+-0.01,+-0.05,,
303.15,74.81,0.4737,,+-0.01,+-0.05,,
303.15,79.9,0.4379,,+-0.01,+-0.05,,
303.15,84.71,0.404,,+-0.01,+-0.05,,
303.15,87.71,0.3828,,+-0.01,+-0.05,,
303.15,92.08,0.3531,,+-0.01,+-0.05,,
303.15,94.48,0.3358,,+-0.01,+-0.05,,
303.15,102.91,0.2802,,+-0.01,+-0.05,,
303.15,104.13,0.2703,,+-0.01,+-0.05,,
303.15,110.82,0.2232,,+-0.01,+-0.05,,
303.15,118.7,0.169,,+-0.01,+-0.05,,
303.15,126.79,0.1137,,+-0.01,+-0.05,,
303.15,141.95,0.0,,+-0.01,+-0.05,,
