"T, deg.C","P, psi",X,Y,T Err,P Err,X Err,Y Err
175.0,351,0.0,0.0,+-0.1,+-0.001,,
175.0,355,0.0015,0.0113,+-0.1,+-0.001,,
175.0,378,0.0115,0.0804,+-0.1,+-0.001,,
175.0,455,0.0358,0.1936,+-0.1,+-0.001,,
175.0,484,0.0531,0.261,+-0.1,+-0.001,,
175.0,658,0.1362,0.4957,+-0.1,+-0.001,,
175.0,850,0.2109,0.5865,+-0.1,+-0.001,,
175.0,1233,0.3637,0.6682,+-0.1,+-0.001,,
175.0,1412,0.4456,0.6827,+-0.1,+-0.001,,
175.0,1547,0.5162,0.677,+-0.1,+-0.001,,
175.0,1565,0.5299,0.6744,+-0.1,+-0.001,,
175.0,1587,0.5442,0.6711,+-0.1,+-0.001,,
175.0,1611,0.5737,0.6345,+-0.1,+-0.001,,
175.0,1625,0.6048,0.6048,+-0.1,+-0.001,,
