"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
195.3,76.09,1.0,1.0,0.1,0.05,0.0015,0.0015
195.3,83.19,0.8751,0.808,0.1,0.05,0.0015,0.0015
195.3,86.17,0.813,0.7361,0.1,0.05,0.0015,0.0015
195.3,88.46,0.7492,0.6727,0.1,0.05,0.0015,0.0015
195.3,90.02,0.6868,0.6168,0.1,0.05,0.0015,0.0015
195.3,90.12,0.6851,0.6168,0.1,0.05,0.0015,0.0015
195.3,92.08,0.5821,0.5382,0.1,0.05,0.0015,0.0015
195.3,91.78,0.5737,0.5291,0.1,0.05,0.0015,0.0015
195.3,91.89,0.573,0.5266,0.1,0.05,0.0015,0.0015
195.3,91.81,0.5559,0.5162,0.1,0.05,0.0015,0.0015
195.3,92.16,0.5432,0.5073,0.1,0.05,0.0015,0.0015
195.3,92.51,0.5084,0.4808,0.1,0.05,0.0015,0.0015
195.2,92.24,0.4835,0.4619,0.1,0.05,0.0015,0.0015
195.3,93.03,0.3516,0.3658,0.1,0.05,0.0015,0.0015
195.3,92.39,0.2729,0.3044,0.1,0.05,0.0015,0.0015
195.3,92.0,0.241,0.2775,0.1,0.05,0.0015,0.0015
195.3,90.81,0.1751,0.2155,0.1,0.05,0.0015,0.0015
195.3,89.87,0.1294,0.1694,0.1,0.05,0.0015,0.0015
195.3,88.81,0.0926,0.1271,0.1,0.05,0.0015,0.0015
195.3,87.31,0.048,0.0701,0.1,0.05,0.0015,0.0015
195.3,84.49,0.0,0.0,0.1,0.05,0.0015,0.0015
