"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
-116.1,20.41,0.0,0.0,,,,
-116.1,39.5,0.034,0.4724,,,,
-116.1,60.5,0.0714,0.6513,,,,
-116.1,100.0,0.1386,0.7907,,,,
-116.1,160.0,0.2384,0.8709,,,,
-116.1,250.0,0.3955,0.9181,,,,
-116.1,350.0,0.5687,0.9425,,,,
-116.1,500.0,0.815,0.9647,,,,
-116.1,563.0,0.9007,0.975,,,,
-116.1,612.0,0.9474,0.9832,,,,
-116.1,630.0,0.9646,0.9869,,,,
-116.1,642.0,0.9749,0.9898,,,,
-116.1,651.0,0.9819,0.99187,,,,
-116.1,660.0,0.9882,0.99445,,,,
-116.1,664.0,0.9916,0.99579,,,,
-116.1,668.0,0.99383,0.99693,,,,
-116.1,670.0,0.99561,0.99765,,,,
-116.1,671.0,1.0,1.0,,,,
