"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
0,144.42,1.0,,+-0.05,+-0.05,,
0,185.94,0.977,,+-0.05,+-0.05,,
0,264.25,0.9359,,+-0.05,+-0.05,,
0,320.19,0.9069,,+-0.05,+-0.05,,
0,492.89,0.821,,+-0.05,+-0.05,,
0,699.94,0.7248,,+-0.05,+-0.05,,
0,962.91,0.6101,,+-0.05,+-0.05,,
0,1055.3,0.5937,,+-0.05,+-0.05,,
0,1152.6,0.5322,,+-0.05,+-0.05,,
0,1282.2,0.4884,,+-0.05,+-0.05,,
0,1414.9,0.4292,,+-0.05,+-0.05,,
0,1482.4,0.3958,,+-0.05,+-0.05,,
0,1697.0,0.3225,,+-0.05,+-0.05,,
0,1699.9,0.3024,,+-0.05,+-0.05,,
0,1972.1,0.194,,+-0.05,+-0.05,,
0,2254.9,0.0965,,+-0.05,+-0.05,,
0,2400.1,0.0537,,+-0.05,+-0.05,,
0,2480.7,0.0318,,+-0.05,+-0.05,,
0,2611.6,0.0,,+-0.05,+-0.05,,
