"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
125,74.42,0.0,0.0,0.01,0.1%,0.0002,0.0002
125,76.12,0.1,0.1168,0.01,0.1%,0.0002,0.0002
125,77.77,0.2,0.2284,0.01,0.1%,0.0002,0.0002
125,79.37,0.3,0.3354,0.01,0.1%,0.0002,0.0002
125,80.91,0.4,0.4383,0.01,0.1%,0.0002,0.0002
125,82.38,0.5,0.5375,0.01,0.1%,0.0002,0.0002
125,83.79,0.6,0.6336,0.01,0.1%,0.0002,0.0002
125,85.12,0.7,0.7273,0.01,0.1%,0.0002,0.0002
125,86.37,0.8,0.8191,0.01,0.1%,0.0002,0.0002
125,87.54,0.9,0.9097,0.01,0.1%,0.0002,0.0002
125,88.62,1.0,1.0,0.01,0.1%,0.0002,0.0002
