"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
313.15,13.465,0.0278,0.1003,+-0.02,0.004,0.0005,0.0005
313.15,13.887,0.092,0.1495,+-0.02,0.004,0.0005,0.0005
313.15,13.983,0.1423,0.1626,+-0.02,0.004,0.0005,0.0005
313.15,13.959,0.2218,0.1779,+-0.02,0.004,0.0005,0.0005
313.15,13.909,0.2757,0.1872,+-0.02,0.004,0.0005,0.0005
313.15,13.724,0.3739,0.2027,+-0.02,0.004,0.0005,0.0005
313.15,13.645,0.4106,0.2081,+-0.02,0.004,0.0005,0.0005
313.15,13.557,0.4553,0.2147,+-0.02,0.004,0.0005,0.0005
313.15,13.29,0.533,0.2268,+-0.02,0.004,0.0005,0.0005
313.15,12.717,0.6267,0.2448,+-0.02,0.004,0.0005,0.0005
313.15,12.731,0.6424,0.2485,+-0.02,0.004,0.0005,0.0005
313.15,12.422,0.6838,0.2597,+-0.02,0.004,0.0005,0.0005
313.15,12.203,0.7082,0.2675,+-0.02,0.004,0.0005,0.0005
313.15,11.847,0.7423,0.2807,+-0.02,0.004,0.0005,0.0005
313.15,11.376,0.7768,0.2974,+-0.02,0.004,0.0005,0.0005
313.15,10.627,0.8224,0.3278,+-0.02,0.004,0.0005,0.0005
313.15,9.665,0.8647,0.3702,+-0.02,0.004,0.0005,0.0005
313.15,8.574,0.9026,0.4297,+-0.02,0.004,0.0005,0.0005
313.15,7.475,0.9327,0.5053,+-0.02,0.004,0.0005,0.0005
313.15,5.679,0.9716,0.6895,+-0.02,0.004,0.0005,0.0005
