"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
153.21,1.2,1.0,1.0,,,,
153.21,3.616,0.9643,0.4435,,,,
153.21,4.137,0.9557,0.4046,,,,
153.21,5.237,0.9378,0.357,,,,
153.21,6.205,0.9256,0.3268,,,,
153.21,6.374,0.9205,0.3248,,,,
153.21,7.591,0.9026,0.3027,,,,
153.21,8.274,0.8933,0.2985,,,,
153.21,8.963,0.8798,0.2895,,,,
153.21,10.342,0.8583,0.2823,,,,
153.21,11.721,0.8326,0.2802,,,,
153.21,13.789,0.7929,0.2886,,,,
153.21,15.513,0.7575,0.3024,,,,
153.21,17.237,0.7157,0.3224,,,,
153.21,19.099,0.6615,0.3594,,,,
153.21,19.891,0.6227,0.3857,,,,
153.21,20.271,0.6036,0.4027,,,,
153.21,20.512,0.5869,0.423,,,,
153.21,20.719,0.5566,0.4432,,,,
153.21,20.822,,0.4843,,,,
